RK,Name,Team,POS,Games Played,At Bats,Runs,Hits,AVG,2B,3B,Home Runs,Runs Batted In,Total Bases,Walks,Strikeouts,Stolen Bases
1,Salvador Perez,KC,C,161,620,88,169,0.273,24,0,48,121,337,28,170,1
1,Vladimir Guerrero Jr.,TOR,1B,161,604,123,188,0.311,29,1,48,111,363,86,110,4
3,Shohei Ohtani,LAA,SP,155,537,103,138,0.257,26,8,46,100,318,96,189,26
4,Marcus Semien,TOR,2B,162,652,115,173,0.265,39,2,45,102,351,66,146,15
5,Fernando Tatis Jr.,SD,SS,130,478,99,135,0.282,31,0,42,97,292,62,153,25
6,Matt Olson,OAK,1B,156,565,101,153,0.271,35,0,39,111,305,88,113,4
6,Mitch Haniger,SEA,RF,157,620,110,157,0.253,23,2,39,100,301,54,169,1
6,Aaron Judge,NYY,CF,148,550,89,158,0.287,24,0,39,98,299,75,158,6
6,Brandon Lowe,TB,2B,149,535,97,132,0.247,31,0,39,99,280,68,167,7
10,Adam Duvall,ATL/MIA,CF,146,513,67,117,0.228,17,2,38,113,252,35,174,5
10,Joey Gallo,TEX/NYY,RF,154,498,90,99,0.199,13,1,38,77,228,111,213,6
10,Rafael Devers,BOS,3B,156,591,101,165,0.279,37,1,38,113,318,62,143,5
13,Pete Alonso,NYM,1B,152,561,81,147,0.262,27,3,37,94,291,60,127,3
14,Joey Votto,CIN,1B,129,448,73,119,0.266,23,1,36,99,252,77,127,1
14,Jose Ramirez,CLE,3B,152,552,111,147,0.266,32,5,36,103,297,72,87,27
14,Max Muncy,LAD,3B,144,497,95,124,0.249,26,2,36,94,262,83,120,2
17,Giancarlo Stanton,NYY,DH,140,510,64,139,0.273,19,0,35,97,263,63,157,0
17,Kyle Seager,SEA,3B,159,603,73,128,0.212,29,1,35,101,264,59,161,3
17,Bryce Harper,PHI,DH,141,488,101,151,0.309,42,1,35,84,300,100,134,13
20,Nick Castellanos,CIN,RF,138,531,95,164,0.309,38,1,34,100,306,41,121,3
20,Nolan Arenado,STL,3B,157,593,81,151,0.255,34,3,34,105,293,50,96,2
20,Tyler O'Neill,STL,LF,141,482,89,138,0.286,26,2,34,80,270,38,168,15
23,Jorge Polanco,MIN,2B,152,588,97,158,0.269,35,2,33,98,296,45,118,11
23,Mike Zunino,TB,C,109,333,64,72,0.216,11,2,33,62,186,34,132,0
23,Ryan Mountcastle,BAL,1B,144,534,77,136,0.255,23,1,33,89,260,41,161,4
23,Austin Riley,ATL,3B,160,590,91,179,0.303,33,1,33,107,313,52,168,0
23,Yordan Alvarez,HOU,LF,144,537,92,149,0.277,35,1,33,104,285,50,145,1
28,Nelson Cruz,MIN/TB,DH,146,513,79,136,0.265,21,1,32,86,255,51,126,3
28,Teoscar Hernandez,TOR,RF,143,550,92,163,0.296,29,0,32,116,288,36,148,12
28,Kyle Schwarber,BOS/WSH,LF,113,399,76,106,0.266,19,0,32,71,221,64,127,1
31,Freddie Freeman,ATL,1B,159,600,120,180,0.3,25,2,31,83,302,85,107,8
31,Paul Goldschmidt,STL,1B,158,603,102,177,0.294,36,2,31,99,310,67,136,12
31,Jose Altuve,HOU,2B,146,602,117,167,0.277,32,1,31,83,294,66,91,5
31,Javier Baez,CHC/NYM,SS,142,502,80,133,0.265,18,2,31,87,248,28,184,18
31,Eugenio Suarez,CIN,3B,145,505,71,100,0.198,23,0,31,79,216,56,171,0
31,Hunter Renfroe,BOS,RF,144,521,89,135,0.259,33,0,31,96,261,44,130,1
31,Adolis Garcia,TEX,RF,149,581,77,141,0.243,26,2,31,90,264,32,194,16
38,Miguel Sano,MIN,1B,135,470,68,105,0.223,24,0,30,75,219,59,183,2
38,Jose Abreu,CHW,1B,152,566,86,148,0.261,30,2,30,117,272,61,143,1
38,Franmil Reyes,CLE,DH,115,418,57,106,0.254,18,2,30,85,218,43,149,4
38,Ozzie Albies,ATL,2B,156,629,103,163,0.259,40,7,30,106,307,47,128,20
38,Kyle Tucker,HOU,RF,140,506,83,149,0.294,37,3,30,92,282,53,90,14
38,Cedric Mullins,BAL,CF,159,602,91,175,0.291,37,5,30,59,312,59,125,30
44,Avisail Garcia,MIL,RF,135,461,68,121,0.262,18,0,29,86,226,38,121,8
44,Brandon Belt,SF,1B,97,325,65,89,0.274,14,2,29,59,194,48,103,3
44,Jared Walsh,LAA,1B,144,530,70,147,0.277,34,1,29,98,270,48,152,2
44,Juan Soto,WSH,RF,151,502,111,157,0.313,20,2,29,95,268,145,93,9
44,Bo Bichette,TOR,SS,159,640,121,191,0.298,30,1,29,102,310,40,137,25
49,Eduardo Escobar,ARI/MIL,3B,146,549,77,139,0.253,26,5,28,90,259,48,124,1
49,J.D. Martinez,BOS,DH,148,570,92,163,0.286,42,3,28,99,295,55,150,0
