,Team,2021,2020,2019
0,New York Yankees,6.0,5.3,5.0
1,Los Angeles Dodgers,4.075,3.6,3.4
2,Boston Red Sox,3.9,3.5,3.3
3,Chicago Cubs,3.8,3.4,3.2
4,San Francisco Giants,3.5,3.2,3.1
5,New York Mets,2.65,2.5,2.4
6,St. Louis Cardinals,2.45,2.2,2.2
7,Philadelphia Phillies,2.3,2.1,2.0
8,Los Angeles Angels,2.2,2.0,2.0
9,Atlanta Braves,2.1,1.9,1.8
10,Texas Rangers,2.05,1.8,1.8
11,Washington Nationals,2.0,1.9,1.9
12,Houston Astros,1.98,1.9,1.9
13,Toronto Blue Jays,1.78,1.7,1.6
14,Chicago White Sox,1.76,1.7,1.7
15,Seattle Mariners,1.7,1.6,1.6
16,San Diego Padres,1.575,1.5,1.5
17,Detroit Tigers,1.4,1.3,1.3
18,Minnesota Twins,1.39,1.3,1.3
19,Colorado Rockies,1.385,1.3,1.3
20,Arizona Diamondbacks,1.38,1.3,1.3
21,Baltimore Orioles,1.375,1.4,1.4
22,Pittsburgh Pirates,1.32,1.3,1.3
23,Cleveland Guardians,1.3,1.2,1.2
24,Milwaukee Brewers,1.28,1.2,1.2
25,Cincinnati Reds,1.19,1.1,1.1
26,Oakland Athletics,1.18,1.1,1.1
27,Kansas City Royals,1.11,1.1,1.0
28,Tampa Bay Rays,1.1,1.1,1.1
29,Miami Marlins,9.9,9.9,9.8
